Cenario,Consulta,Tempo,Uso_CPU,Uso_Mem,Custo
Sem Particionamento,1,562.99,90.4,86.77,41.25
Sem Particionamento,2,510.18,81.99,89.97,42.87
Sem Particionamento,3,499.81,89.15,85.42,38.33
Sem Particionamento,4,517.46,93.8,87.58,37.66
Sem Particionamento,5,507.58,86.7,91.3,38.61
Sem Particionamento,6,561.46,92.45,90.27,39.84
Sem Particionamento,7,531.91,89.8,91.56,44.75
Sem Particionamento,8,586.78,96.56,87.05,41.42
Sem Particionamento,9,579.24,83.4,84.69,44.46
Sem Particionamento,10,528.76,83.58,87.96,37.68
Sem Particionamento,11,574.06,84.65,99.53,40.55
Sem Particionamento,12,534.45,84.46,97.8,38.74
Sem Particionamento,13,524.97,86.06,97.39,44.67
Sem Particionamento,14,527.43,91.38,89.1,42.17
Sem Particionamento,15,600.44,96.44,82.99,44.47
Sem Particionamento,16,583.41,92.04,94.55,43.82
Sem Particionamento,17,581.16,91.91,88.39,37.91
Sem Particionamento,18,568.74,84.34,83.18,37.82
Sem Particionamento,19,558.6,95.21,83.97,41.17
Sem Particionamento,20,501.15,86.18,96.92,45.22
Particionamento Tradicional,1,334.03,71.17,67.7,30.78
Particionamento Tradicional,2,343.7,65.22,67.81,27.07
Particionamento Tradicional,3,355.05,60.49,77.35,30.44
Particionamento Tradicional,4,342.79,60.79,67.65,30.22
Particionamento Tradicional,5,324.91,67.13,72.09,31.71
Particionamento Tradicional,6,298.89,64.64,70.99,26.44
Particionamento Tradicional,7,333.32,61.45,73.87,27.95
Particionamento Tradicional,8,346.35,64.64,72.38,27.09
Particionamento Tradicional,9,334.53,65.4,72.63,28.72
Particionamento Tradicional,10,334.56,63.04,73.12,31.95
Particionamento Tradicional,11,338.14,64.97,69.24,29.91
Particionamento Tradicional,12,338.06,70.29,79.78,31.91
Particionamento Tradicional,13,356.2,64.13,71.4,27.04
Particionamento Tradicional,14,296.03,69.0,74.31,30.34
Particionamento Tradicional,15,320.25,59.61,78.66,29.64
Particionamento Tradicional,16,325.29,63.06,74.35,30.24
Particionamento Tradicional,17,343.57,68.12,69.29,26.25
Particionamento Tradicional,18,349.14,70.47,79.63,28.33
Particionamento Tradicional,19,358.14,64.18,79.67,30.54
Particionamento Tradicional,20,327.03,59.41,78.91,30.1
Liquid Clustering,1,215.38,45.74,57.12,18.59
Liquid Clustering,2,202.48,45.68,54.86,21.67
Liquid Clustering,3,212.7,52.24,53.92,18.16
Liquid Clustering,4,205.07,46.48,63.36,19.18
Liquid Clustering,5,224.11,47.71,64.84,19.4
Liquid Clustering,6,194.55,45.71,60.77,18.55
Liquid Clustering,7,206.47,46.85,62.29,20.28
Liquid Clustering,8,203.77,49.76,58.19,21.28
Liquid Clustering,9,211.42,47.96,60.05,20.44
Liquid Clustering,10,194.44,43.89,63.74,19.36
Liquid Clustering,11,220.94,49.11,55.17,21.58
Liquid Clustering,12,194.62,46.28,55.54,21.26
Liquid Clustering,13,231.62,45.19,63.99,19.67
Liquid Clustering,14,192.1,47.94,57.23,18.66
Liquid Clustering,15,190.86,43.39,58.15,21.34
Liquid Clustering,16,201.58,46.44,54.08,21.51
Liquid Clustering,17,203.17,51.6,53.56,18.59
Liquid Clustering,18,201.45,47.91,60.54,18.47
Liquid Clustering,19,197.6,46.57,63.51,18.43
Liquid Clustering,20,231.04,51.7,54.5,21.17
